,Redemptions,Intrinsic NNEG,Redemptions Net of Int NNEG,Market NNEG,Redemptions Net of Mkt NNEG,IFRS
0,0.0,0.0,0.0,0.0,0.0,0.8598655906849565
1,0.015240010000000007,0.0,0.015240010000000007,4.6942509804819544e-17,0.01524000999999996,0.9091227682686519
2,0.01798977543744207,0.0,0.01798977543744207,3.228422544475486e-10,0.01798977511459982,0.9594077336724922
3,0.021181072916094345,0.0,0.021181072916094345,8.669407713505167e-08,0.02118098622201721,1.01036657581209
4,0.02486867065947606,0.0,0.02486867065947606,1.7150424791546379e-06,0.024866955616996905,1.0615739770683401
5,0.029108886557192192,0.0,0.029108886557192192,1.162570928490278e-05,0.02909726084790729,1.1125197927199524
6,0.033957868552226864,0.0,0.033957868552226864,4.547076661540777e-05,0.033912397785611455,1.1626032714713594
7,0.03947072200369202,0.0,0.03947072200369202,0.00012874970792859432,0.039341972295763424,1.2111277232799689
8,0.04569730319832251,0.0,0.04569730319832251,0.00029610288044488396,0.04540120031787763,1.2572989941406503
9,0.05268002329235226,0.0,0.05268002329235226,0.0005901481629488547,0.052089875129403405,1.300225997666972
10,0.06044953444955357,0.0,0.06044953444955357,0.0010601845041928043,0.05938934994536076,1.3389255604132722
11,0.06901626191016005,0.0,0.06901626191016005,0.0017605628917774462,0.0672556990183826,1.372336038226476
12,0.07836750433444228,0.0,0.07836750433444228,0.002748614071454315,0.07561889026298797,1.3993347587065958
13,0.08846096809178668,0.0,0.08846096809178668,0.00408187768646667,0.08437909040532,1.4187631236609872
14,0.09921271200400318,0.0,0.09921271200400318,0.005814188299222349,0.09339852370478083,1.4294654297175875
15,0.11050102597337155,0.0,0.11050102597337155,0.007991575307412254,0.1025094506659593,1.430326223063306
16,0.1221463848559717,0.0,0.1221463848559717,0.010646017188206396,0.1115003676677653,1.4203296699019812
17,0.13391992967475763,0.0,0.13391992967475763,0.013790073588781577,0.12012985608597605,1.3986138917434547
18,0.14553287902247702,0.0,0.14553287902247702,0.01740982290424624,0.12812305611823077,1.3645401633373229
19,0.1566408968300048,0.0,0.1566408968300048,0.02145878840822146,0.13518210842178333,1.3177665389008846
20,0.1668516513761605,0.0,0.1668516513761605,0.02585291687839539,0.14099873449776512,1.2583284535153763
21,0.1757414687834286,0.0,0.1757414687834286,0.030468234941988363,0.14527323384144025,1.1867214935181762
22,0.18286495740177083,0.0,0.18286495740177083,0.03513943391701696,0.14772552348475387,1.103989442413495
23,0.18779057986352962,0.0,0.18779057986352962,0.039665545697261426,0.1481250341662682,1.0117755637174581
24,0.19012777226275523,0.0,0.19012777226275523,0.04381828456732228,0.14630948769543295,0.9123181257122005
25,0.18956097628711474,0.0067403800720874756,0.18282059621502728,0.04735576623781379,0.14220521004930095,0.8083602173565969
26,0.18589031339024506,0.013311932258397751,0.1725783811318473,0.050042343724044716,0.13584796966620033,0.7029643534238526
27,0.1790645905180813,0.019037764268553244,0.16002682624952805,0.05167112913706596,0.12739346138101534,0.5992630535167939
28,0.16920187500278117,0.02364199242393816,0.145559882578843,0.0520864163701229,0.11711545863265826,0.5001976842928066
29,0.15660278028829477,0.026917871653602633,0.12968490863469215,0.051205691502147765,0.10539708878614701,0.4082893802943993
30,0.14174716793429243,0.028752536515582072,0.11299463141871036,0.049036741788625056,0.09271042614566738,0.3254738038962901
31,0.1252635227957551,0.02914181296187567,0.09612170983387942,0.045683511909871244,0.07958001088588385,0.25301643684329844
32,0.10788412844359463,0.02819338641294749,0.07969074203064713,0.04134205994020374,0.0665420685033909,0.19149903698634219
33,0.09038590877951791,0.02611647269864273,0.06426943608087518,0.03628482297625477,0.05410108580326314,0.14086483822622475
34,0.07351751643795494,0.023196658761778042,0.0503208576761769,0.030831883258234907,0.04268563317972003,0.10051325761322308
35,0.05793146756096421,0.019761201701210283,0.03817026585975393,0.02531617256502462,0.0326152949959396,0.06942741770676265
36,0.04412779420890317,0.016139507086236227,0.027988287122666943,0.020046745778676354,0.024081048430226817,0.046319415228285976
37,0.032416597957401136,0.012624812107816446,0.01979178584958469,0.015275562909198478,0.017141035048202656,0.029778013493364258
38,0.022909435863756353,0.009445085925756049,0.013464349938000305,0.011175348072109693,0.01173408779164666,0.01840108220539562
39,0.01553569518763587,0.006746378067375025,0.008789317120260846,0.007830243949303116,0.007705451238332755,0.010900857078187045
40,0.01008188901516047,0.004591289065677512,0.005490599949482958,0.00524109605591031,0.00484079295925016,0.00617364158695345
41,0.006243336429344483,0.0029703208350643938,0.0032730155942800893,0.0033421179780218804,0.0029012184513226027,0.0033328768663648937
42,0.0036784618642783165,0.0018221495680533165,0.001856312296225,0.0020245682525029634,0.001653893611775353,0.0017098921683894462
43,0.0020556452562418936,0.001057057122765036,0.0009985881334768577,0.0011615952422995032,0.0008940500139423904,0.0008310030909761845
44,0.0010860701829248553,0.0005782036811702439,0.0005078665017546114,0.000629250970266932,0.0004568192126579233,0.00038130834017009475
45,0.0005406790999896142,0.0002972992008613979,0.00024337989912821633,0.0003207894560252218,0.0002198896439643924,0.00016462035572060508
46,0.0002527417160711608,0.0001432262384545352,0.00010951547761662561,0.00015337709073922056,9.936462533194026e-05,6.662837039849498e-05
47,0.00011053442633568776,6.442926137393583e-05,4.6105164961751934e-05,6.853360425268798e-05,4.200082208299978e-05,2.518720486769754e-05
48,4.505828344139577e-05,2.696655300232562e-05,1.809173043907015e-05,2.8513528021885326e-05,1.6544755419510443e-05,8.858581612373884e-06
49,1.7053964173355225e-05,1.0462464135005681e-05,6.591500038349543e-06,1.1003888404531137e-05,6.050075768824088e-06,2.8871829541994338e-06
50,5.969188928626158e-06,3.7482956769337324e-06,2.2208932516924257e-06,3.923551155392401e-06,2.0456377732337574e-06,8.683926830798358e-07
